0	0000
15a	Ś
15b	ś
15c	Ŝ
15d	ŝ
15e	Ş
15f	ş
160	Š
161	š
162	Ţ
163	ţ
164	Ť
165	ť
166	Ŧ
167	ŧ
168	Ũ
169	ũ
16a	Ū
16b	ū
16c	Ŭ
16d	ŭ
16e	Ů
16f	ů
170	Ű
171	ű
172	Ų
173	ų
174	Ŵ
175	ŵ
176	Ŷ
177	ŷ
178	Ÿ
179	Ź
17a	ź
17b	Ż
17c	ż
17d	Ž
17e	ž
17f	ſ
180	ƀ
181	Ɓ
182	Ƃ
183	ƃ
184	Ƅ
185	ƅ
186	Ɔ
187	Ƈ
188	ƈ
189	Ɖ
18a	Ɗ
18b	Ƌ
18c	ƌ
18d	ƍ
18e	Ǝ
18f	Ə
190	Ɛ
191	Ƒ
192	ƒ
193	Ɠ
194	Ɣ
195	ƕ
196	Ɩ
197	Ɨ
198	Ƙ
199	ƙ
19a	ƚ
19b	ƛ
19c	Ɯ
19d	Ɲ
19e	ƞ
19f	Ɵ
1a0	Ơ
1a1	ơ
1a2	Ƣ
1a3	ƣ
1a4	Ƥ
1a5	ƥ
1a6	Ʀ
1a7	Ƨ
1a8	ƨ
1a9	Ʃ
1aa	ƪ
1ab	ƫ
1ac	Ƭ
1ad	ƭ
1ae	Ʈ
1af	Ư
1b0	ư
1b1	Ʊ
1b2	Ʋ
1b3	Ƴ
1b4	ƴ
1b5	Ƶ
1b6	ƶ
1b7	Ʒ
1b8	Ƹ
1b9	ƹ
1ba	ƺ
1bb	ƻ
1bc	Ƽ
1bd	ƽ
1be	ƾ
1bf	ƿ
1c0	ǀ
1c1	ǁ
1c2	ǂ
1c3	ǃ
1c4	Ǆ
1c5	ǅ
1c6	ǆ
1c7	Ǉ
1c8	ǈ
1c9	ǉ
1ca	Ǌ
1cb	ǋ
1cc	ǌ
1cd	Ǎ
1ce	ǎ
1cf	Ǐ
1d0	ǐ
1d1	Ǒ
1d2	ǒ
1d3	Ǔ
1d4	ǔ
1d5	Ǖ
1d6	ǖ
1d7	Ǘ
1d8	ǘ
1d9	Ǚ
1da	ǚ
1db	Ǜ
1dc	ǜ
1dd	ǝ
1de	Ǟ
1df	ǟ
1e0	Ǡ
1e1	ǡ
1e2	Ǣ
1e3	ǣ
1e4	Ǥ
1e5	ǥ
1e6	Ǧ
1e7	ǧ
1e8	Ǩ
1e9	ǩ
1ea	Ǫ
1eb	ǫ
1ec	Ǭ
1ed	ǭ
1ee	Ǯ
1ef	ǯ
1f0	ǰ
1f1	Ǳ
1f2	ǲ
1f3	ǳ
1f4	Ǵ
1f5	ǵ
1f6	Ƕ
1f7	Ƿ
1f8	Ǹ
1f9	ǹ
1fa	Ǻ
1fb	ǻ
1fc	Ǽ
1fd	ǽ
1fe	Ǿ
1ff	ǿ
200	Ȁ
201	ȁ
202	Ȃ
203	ȃ
204	Ȅ
205	ȅ
206	Ȇ
207	ȇ
208	Ȉ
209	ȉ
20a	Ȋ
20b	ȋ
20c	Ȍ
20d	ȍ
20e	Ȏ
20f	ȏ
210	Ȑ
211	ȑ
212	Ȓ
213	ȓ
214	Ȕ
215	ȕ
216	Ȗ
217	ȗ
218	Ș
219	ș
21a	Ț
21b	ț
21c	Ȝ
21d	ȝ
21e	Ȟ
21f	ȟ
220	Ƞ
221	ȡ
222	Ȣ
223	ȣ
224	Ȥ
225	ȥ
226	Ȧ
227	ȧ
228	Ȩ
229	ȩ
22a	Ȫ
22b	ȫ
22c	Ȭ
22d	ȭ
22e	Ȯ
22f	ȯ
230	Ȱ
231	ȱ
232	Ȳ
233	ȳ
234	ȴ
235	ȵ
236	ȶ
237	ȷ
238	ȸ
239	ȹ
23a	Ⱥ
23b	Ȼ
23c	ȼ
23d	Ƚ
23e	Ⱦ
23f	ȿ
240	ɀ
241	Ɂ
242	ɂ
243	Ƀ
244	Ʉ
245	Ʌ
246	Ɇ
247	ɇ
248	Ɉ
249	ɉ
24a	Ɋ
24b	ɋ
24c	Ɍ
24d	ɍ
24e	Ɏ
24f	ɏ
250	ɐ
251	ɑ
252	ɒ
253	ɓ
254	ɔ
255	ɕ
256	ɖ
257	ɗ
258	ɘ
259	ə
25a	ɚ
25b	ɛ
25c	ɜ
25d	ɝ
25e	ɞ
25f	ɟ
260	ɠ
261	ɡ
262	ɢ
263	ɣ
264	ɤ
265	ɥ
266	ɦ
267	ɧ
268	ɨ
269	ɩ
26a	ɪ
26b	ɫ
26c	ɬ
26d	ɭ
26e	ɮ
26f	ɯ
270	ɰ
271	ɱ
272	ɲ
273	ɳ
274	ɴ
275	ɵ
276	ɶ
277	ɷ
278	ɸ
279	ɹ
27a	ɺ
27b	ɻ
27c	ɼ
27d	ɽ
27e	ɾ
27f	ɿ
280	ʀ
281	ʁ
282	ʂ
283	ʃ
284	ʄ
285	ʅ
286	ʆ
287	ʇ
288	ʈ
289	ʉ
28a	ʊ
28b	ʋ
28c	ʌ
28d	ʍ
28e	ʎ
28f	ʏ
290	ʐ
291	ʑ
292	ʒ
293	ʓ
294	ʔ
295	ʕ
296	ʖ
297	ʗ
298	ʘ
299	ʙ
29a	ʚ
29b	ʛ
29c	ʜ
29d	ʝ
29e	ʞ
29f	ʟ
2a0	ʠ
2a1	ʡ
2a2	ʢ
2a3	ʣ
2a4	ʤ
2a5	ʥ
2a6	ʦ
2a7	ʧ
2a8	ʨ
2a9	ʩ
2aa	ʪ
2ab	ʫ
2ac	ʬ
2ad	ʭ
2ae	ʮ
2af	ʯ
2b0	ʰ
2b1	ʱ
2b2	ʲ
2b3	ʳ
2b4	ʴ
2b5	ʵ
2b6	ʶ
2b7	ʷ
2b8	ʸ
2b9	ʹ
2ba	ʺ
2bb	ʻ
2bc	ʼ
2bd	ʽ
2be	ʾ
2bf	ʿ
2c0	ˀ
2c1	ˁ
2c2	˂
2c3	˃
2c4	˄
2c5	˅
2c6	ˆ
2c7	ˇ
2c8	ˈ
2c9	ˉ
2ca	ˊ
2cb	ˋ
2cc	ˌ
2cd	ˍ
2ce	ˎ
2cf	ˏ
2d0	ː
2d1	ˑ
2d2	˒
2d3	˓
2d4	˔
2d5	˕
2d6	˖
2d7	˗
2d8	˘
2d9	˙
2da	˚
2db	˛
2dc	˜
2dd	˝
2de	˞
2df	˟
2e0	ˠ
2e1	ˡ
2e2	ˢ
2e3	ˣ
2e4	ˤ
2e5	˥
2e6	˦
2e7	˧
2e8	˨
2e9	˩
2ea	˪
2eb	˫
2ec	ˬ
2ed	˭
2ee	ˮ
2ef	˯
2f0	˰
2f1	˱
2f2	˲
2f3	˳
2f4	˴
2f5	˵
2f6	˶
2f7	˷
2f8	˸
2f9	˹
2fa	˺
2fb	˻
2fc	˼
2fd	˽
2fe	˾
2ff	˿
300	̀
301	́
302	̂
303	̃
304	̄
305	̅
306	̆
307	̇
308	̈
309	̉
30a	̊
30b	̋
30c	̌
30d	̍
30e	̎
30f	̏
310	̐
311	̑
312	̒
313	̓
314	̔
315	̕
316	̖
317	̗
318	̘
319	̙
31a	̚
31b	̛
31c	̜
31d	̝
31e	̞
31f	̟
320	̠
321	̡
322	̢
323	̣
324	̤
325	̥
326	̦
327	̧
328	̨
329	̩
32a	̪
32b	̫
32c	̬
32d	̭
32e	̮
32f	̯
330	̰
331	̱
332	̲
333	̳
334	̴
335	̵
336	̶
337	̷
338	̸
339	̹
33a	̺
33b	̻
33c	̼
33d	̽
33e	̾
33f	̿
340	̀
341	́
342	͂
343	̓
344	̈́
345	ͅ
346	͆
347	͇
348	͈
349	͉
34a	͊
34b	͋
34c	͌
34d	͍
34e	͎
34f	͏
350	͐
351	͑
352	͒
353	͓
354	͔
355	͕
356	͖
357	͗
358	͘
359	͙
35a	͚
35b	͛
35c	͜
35d	͝
35e	͞
35f	͟
360	͠
361	͡
362	͢
363	ͣ
364	ͤ
365	ͥ
366	ͦ
367	ͧ
368	ͨ
369	ͩ
36a	ͪ
36b	ͫ
36c	ͬ
36d	ͭ
36e	ͮ
36f	ͯ
370	Ͱ
371	ͱ
372	Ͳ
373	ͳ
374	ʹ
375	͵
376	Ͷ
377	ͷ
37a	ͺ
37b	ͻ
37c	ͼ
37d	ͽ
37e	;
37f	Ϳ
384	΄
385	΅
386	Ά
387	·
388	Έ
389	Ή
38a	Ί
38c	Ό
38e	Ύ
38f	Ώ
390	ΐ
391	Α
392	Β
393	Γ
394	Δ
395	Ε
396	Ζ
397	Η
398	Θ
399	Ι
39a	Κ
39b	Λ
39c	Μ
39d	Ν
39e	Ξ
39f	Ο
3a0	Π
3a1	Ρ
3a3	Σ
3a4	Τ
3a5	Υ
3a6	Φ
3a7	Χ
3a8	Ψ
3a9	Ω
3aa	Ϊ
3ab	Ϋ
3ac	ά
3ad	έ
3ae	ή
3af	ί
3b0	ΰ
3b1	α
3b2	β
3b3	γ
3b4	δ
3b5	ε
3b6	ζ
3b7	η
3b8	θ
3b9	ι
3ba	κ
3bb	λ
3bc	μ
3bd	ν
3be	ξ
3bf	ο
3c0	π
3c1	ρ
3c2	ς
3c3	σ
3c4	τ
3c5	υ
3c6	φ
3c7	χ
3c8	ψ
3c9	ω
3ca	ϊ
3cb	ϋ
3cc	ό
3cd	ύ
3ce	ώ
3cf	Ϗ
3d0	ϐ
3d1	ϑ
3d2	ϒ
3d3	ϓ
3d4	ϔ
3d5	ϕ
3d6	ϖ
3d7	ϗ
3d8	Ϙ
3d9	ϙ
3da	Ϛ
3db	ϛ
3dc	Ϝ
3dd	ϝ
3de	Ϟ
3df	ϟ
3e0	Ϡ
3e1	ϡ
3e2	Ϣ
3e3	ϣ
3e4	Ϥ
3e5	ϥ
3e6	Ϧ
3e7	ϧ
3e8	Ϩ
3e9	ϩ
3ea	Ϫ
3eb	ϫ
3ec	Ϭ
3ed	ϭ
3ee	Ϯ
3ef	ϯ
3f0	ϰ
3f1	ϱ
3f2	ϲ
3f3	ϳ
3f4	ϴ
3f5	ϵ
3f6	϶
3f7	Ϸ
3f8	ϸ
3f9	Ϲ
3fa	Ϻ
3fb	ϻ
3fc	ϼ
3fd	Ͻ
3fe	Ͼ
3ff	Ͽ
400	Ѐ
401	Ё
402	Ђ
403	Ѓ
404	Є
405	Ѕ
406	І
407	Ї
408	Ј
409	Љ
40a	Њ
40b	Ћ
40c	Ќ
40d	Ѝ
40e	Ў
40f	Џ
410	А
411	Б
412	В
413	Г
414	Д
415	Е
416	Ж
417	З
418	И
419	Й
41a	К
41b	Л
41c	М
41d	Н
41e	О
41f	П
420	Р
421	С
422	Т
423	У
424	Ф
425	Х
426	Ц
427	Ч
428	Ш
429	Щ
42a	Ъ
42b	Ы
42c	Ь
42d	Э
42e	Ю
42f	Я
430	а
431	б
432	в
433	г
434	д
435	е
436	ж
437	з
438	и
439	й
43a	к
43b	л
43c	м
43d	н
43e	о
43f	п
440	р
441	с
442	т
443	у
444	ф
445	х
446	ц
447	ч
448	ш
449	щ
44a	ъ
44b	ы
44c	ь
44d	э
44e	ю
44f	я
450	ѐ
451	ё
452	ђ
453	ѓ
454	є
455	ѕ
456	і
457	ї
458	ј
459	љ
45a	њ
45b	ћ
45c	ќ
45d	ѝ
45e	ў
45f	џ
460	Ѡ
461	ѡ
462	Ѣ
463	ѣ
464	Ѥ
465	ѥ
466	Ѧ
467	ѧ
468	Ѩ
469	ѩ
46a	Ѫ
46b	ѫ
46c	Ѭ
46d	ѭ
46e	Ѯ
46f	ѯ
470	Ѱ
471	ѱ
472	Ѳ
473	ѳ
474	Ѵ
475	ѵ
476	Ѷ
477	ѷ
478	Ѹ
479	ѹ
47a	Ѻ
47b	ѻ
47c	Ѽ
47d	ѽ
47e	Ѿ
47f	ѿ
480	Ҁ
481	ҁ
482	҂
483	҃
484	҄
485	҅
486	҆
487	҇
488	҈
489	҉
48a	Ҋ
48b	ҋ
48c	Ҍ
48d	ҍ
48e	Ҏ
48f	ҏ
490	Ґ
491	ґ
492	Ғ
493	ғ
494	Ҕ
495	ҕ
496	Җ
497	җ
498	Ҙ
499	ҙ
49a	Қ
49b	қ
49c	Ҝ
49d	ҝ
49e	Ҟ
49f	ҟ
4a0	Ҡ
4a1	ҡ
4a2	Ң
4a3	ң
4a4	Ҥ
4a5	ҥ
4a6	Ҧ
4a7	ҧ
4a8	Ҩ
4a9	ҩ
4aa	Ҫ
4ab	ҫ
4ac	Ҭ
4ad	ҭ
4ae	Ү
4af	ү
4b0	Ұ
4b1	ұ
4b2	Ҳ
4b3	ҳ
4b4	Ҵ
4b5	ҵ
4b6	Ҷ
4b7	ҷ
4b8	Ҹ
4b9	ҹ
4ba	Һ
4bb	һ
4bc	Ҽ
4bd	ҽ
4be	Ҿ
4bf	ҿ
4c0	Ӏ
4c1	Ӂ
4c2	ӂ
4c3	Ӄ
4c4	ӄ
4c5	Ӆ
4c6	ӆ
4c7	Ӈ
4c8	ӈ
4c9	Ӊ
4ca	ӊ
4cb	Ӌ
4cc	ӌ
4cd	Ӎ
4ce	ӎ
4cf	ӏ
4d0	Ӑ
4d1	ӑ
4d2	Ӓ
4d3	ӓ
4d4	Ӕ
4d5	ӕ
4d6	Ӗ
4d7	ӗ
4d8	Ә
4d9	ә
4da	Ӛ
4db	ӛ
4dc	Ӝ
4dd	ӝ
4de	Ӟ
4df	ӟ
4e0	Ӡ
4e1	ӡ
4e2	Ӣ
4e3	ӣ
4e4	Ӥ
4e5	ӥ
4e6	Ӧ
4e7	ӧ
4e8	Ө
4e9	ө
4ea	Ӫ
4eb	ӫ
4ec	Ӭ
4ed	ӭ
4ee	Ӯ
4ef	ӯ
4f0	Ӱ
4f1	ӱ
4f2	Ӳ
4f3	ӳ
4f4	Ӵ
4f5	ӵ
4f6	Ӷ
4f7	ӷ
4f8	Ӹ
4f9	ӹ
4fa	Ӻ
4fb	ӻ
4fc	Ӽ
4fd	ӽ
4fe	Ӿ
4ff	ӿ
500	Ԁ
501	ԁ
502	Ԃ
503	ԃ
504	Ԅ
505	ԅ
506	Ԇ
507	ԇ
508	Ԉ
509	ԉ
50a	Ԋ
50b	ԋ
50c	Ԍ
50d	ԍ
50e	Ԏ
50f	ԏ
510	Ԑ
511	ԑ
512	Ԓ
513	ԓ
514	Ԕ
515	ԕ
516	Ԗ
517	ԗ
518	Ԙ
519	ԙ
51a	Ԛ
51b	ԛ
51c	Ԝ
51d	ԝ
51e	Ԟ
51f	ԟ
520	Ԡ
521	ԡ
522	Ԣ
523	ԣ
524	Ԥ
525	ԥ
526	Ԧ
527	ԧ
528	Ԩ
529	ԩ
52a	Ԫ
52b	ԫ
52c	Ԭ
52d	ԭ
52e	Ԯ
52f	ԯ
531	Ա
532	Բ
533	Գ
534	Դ
535	Ե
536	Զ
537	Է
538	Ը
539	Թ
53a	Ժ
53b	Ի
53c	Լ
53d	Խ
53e	Ծ
53f	Կ
540	Հ
541	Ձ
542	Ղ
543	Ճ
544	Մ
545	Յ
546	Ն
547	Շ
548	Ո
549	Չ
54a	Պ
54b	Ջ
54c	Ռ
54d	Ս
54e	Վ
54f	Տ
550	Ր
551	Ց
552	Ւ
553	Փ
554	Ք
555	Օ
556	Ֆ
559	ՙ
55a	՚
55b	՛
55c	՜
55d	՝
55e	՞
55f	՟
560	ՠ
561	ա
562	բ
563	գ
564	դ
565	ե
566	զ
567	է
568	ը
569	թ
56a	ժ
56b	ի
56c	լ
56d	խ
56e	ծ
56f	կ
570	հ
571	ձ
572	ղ
573	ճ
574	մ
575	յ
576	ն
577	շ
578	ո
579	չ
57a	պ
57b	ջ
57c	ռ
57d	ս
57e	վ
57f	տ
580	ր
581	ց
582	ւ
583	փ
584	ք
585	օ
586	ֆ
587	և
588	ֈ
589	։
58a	֊
58d	֍
58e	֎
58f	֏
591	֑
592	֒
593	֓
594	֔
595	֕
596	֖
597	֗
598	֘
599	֙
59a	֚
59b	֛
59c	֜
59d	֝
59e	֞
59f	֟
5a0	֠
5a1	֡
5a2	֢
5a3	֣
5a4	֤
5a5	֥
5a6	֦
5a7	֧
5a8	֨
5a9	֩
5aa	֪
5ab	֫
5ac	֬
5ad	֭
5ae	֮
5af	֯
5b0	ְ
5b1	ֱ
5b2	ֲ
5b3	ֳ
5b4	ִ
5b5	ֵ
5b6	ֶ
5b7	ַ
5b8	ָ
5b9	ֹ
5ba	ֺ
5bb	ֻ
5bc	ּ
5bd	ֽ
5be	־
5bf	ֿ
5c0	׀
5c1	ׁ
5c2	ׂ
5c3	׃
5c4	ׄ
5c5	ׅ
5c6	׆
5c7	ׇ
5d0	א
5d1	ב
5d2	ג
5d3	ד
5d4	ה
5d5	ו
5d6	ז
5d7	ח
5d8	ט
5d9	י
5da	ך
5db	כ
5dc	ל
5dd	ם
5de	מ
5df	ן
5e0	נ
5e1	ס
5e2	ע
5e3	ף
5e4	פ
5e5	ץ
5e6	צ
5e7	ק
5e8	ר
5e9	ש
5ea	ת
5ef	ׯ
5f0	װ
5f1	ױ
5f2	ײ
5f3	׳
5f4	״
600	؀
601	؁
602	؂
603	؃
604	؄
605	؅
606	؆
607	؇
608	؈
609	؉
60a	؊
60b	؋
60c	،
60d	؍
60e	؎
60f	؏
610	ؐ
611	ؑ
612	ؒ
613	ؓ
614	ؔ
615	ؕ
616	ؖ
617	ؗ
618	ؘ
619	ؙ
61a	ؚ
61b	؛
61c	؜
61e	؞
61f	؟
620	ؠ
621	ء
622	آ
623	أ
624	ؤ
625	إ
626	ئ
627	ا
628	ب
629	ة
62a	ت
62b	ث
62c	ج
62d	ح
62e	خ
62f	د
630	ذ
631	ر
632	ز
633	س
634	ش
635	ص
636	ض
637	ط
638	ظ
639	ع
63a	غ
63b	ػ
63c	ؼ
63d	ؽ
63e	ؾ
63f	ؿ
640	ـ
641	ف
642	ق
643	ك
644	ل
645	م
646	ن
647	ه
648	و
649	ى
64a	ي
64b	ً
64c	ٌ
64d	ٍ
64e	َ
64f	ُ
650	ِ
651	ّ
652	ْ
653	ٓ
654	ٔ
655	ٕ
656	ٖ
657	ٗ
658	٘
659	ٙ
65a	ٚ
65b	ٛ
65c	ٜ
65d	ٝ
65e	ٞ
65f	ٟ
660	٠
661	١
662	٢
663	٣
664	٤
665	٥
666	٦
667	٧
668	٨
669	٩
66a	٪
66b	٫
66c	٬
66d	٭
66e	ٮ
66f	ٯ
670	ٰ
671	ٱ
672	ٲ
673	ٳ
674	ٴ
675	ٵ
676	ٶ
677	ٷ
678	ٸ
679	ٹ
67a	ٺ
67b	ٻ
67c	ټ
67d	ٽ
67e	پ
67f	ٿ
680	ڀ
681	ځ
682	ڂ
683	ڃ
684	ڄ
685	څ
686	چ
687	ڇ
688	ڈ
689	ډ
68a	ڊ
68b	ڋ
68c	ڌ
68d	ڍ
68e	ڎ
68f	ڏ
690	ڐ
691	ڑ
692	ڒ
693	ړ
694	ڔ
695	ڕ
696	ږ
697	ڗ
698	ژ
699	ڙ
69a	ښ
69b	ڛ
69c	ڜ
69d	ڝ
69e	ڞ
69f	ڟ
6a0	ڠ
6a1	ڡ
6a2	ڢ
6a3	ڣ
6a4	ڤ
6a5	ڥ
6a6	ڦ
6a7	ڧ
6a8	ڨ
6a9	ک
6aa	ڪ
6ab	ګ
6ac	ڬ
6ad	ڭ
6ae	ڮ
6af	گ
6b0	ڰ
6b1	ڱ
6b2	ڲ
6b3	ڳ
6b4	ڴ
6b5	ڵ
6b6	ڶ
6b7	ڷ
6b8	ڸ
6b9	ڹ
6ba	ں
6bb	ڻ
6bc	ڼ
6bd	ڽ
6be	ھ
6bf	ڿ
6c0	ۀ
6c1	ہ
6c2	ۂ
6c3	ۃ
6c4	ۄ
6c5	ۅ
6c6	ۆ
6c7	ۇ
6c8	ۈ
6c9	ۉ
6ca	ۊ
6cb	ۋ
6cc	ی
6cd	ۍ
6ce	ێ
6cf	ۏ
6d0	ې
6d1	ۑ
6d2	ے
6d3	ۓ
6d4	۔
6d5	ە
6d6	ۖ
6d7	ۗ
6d8	ۘ
6d9	ۙ
6da	ۚ
6db	ۛ
6dc	ۜ
6dd	۝
6de	۞
6df	۟
6e0	۠
6e1	ۡ
6e2	ۢ
6e3	ۣ
6e4	ۤ
6e5	ۥ
6e6	ۦ
6e7	ۧ
6e8	ۨ
6e9	۩
6ea	۪
6eb	۫
6ec	۬
6ed	ۭ
6ee	ۮ
6ef	ۯ
6f0	۰
6f1	۱
6f2	۲
6f3	۳
6f4	۴
6f5	۵
6f6	۶
6f7	۷
6f8	۸
6f9	۹
6fa	ۺ
6fb	ۻ
6fc	ۼ
6fd	۽
6fe	۾
6ff	ۿ
700	܀
701	܁
702	܂
703	܃
704	܄
705	܅
706	܆
707	܇
708	܈
709	܉
70a	܊
70b	܋
70c	܌
70d	܍
70f	܏
710	ܐ
711	ܑ
712	ܒ
713	ܓ
714	ܔ
715	ܕ
716	ܖ
717	ܗ
718	ܘ
719	ܙ
71a	ܚ
71b	ܛ
71c	ܜ
71d	ܝ
71e	ܞ
71f	ܟ
720	ܠ
721	ܡ
722	ܢ
723	ܣ
724	ܤ
725	ܥ
726	ܦ
727	ܧ
728	ܨ
729	ܩ
72a	ܪ
72b	ܫ
72c	ܬ
72d	ܭ
72e	ܮ
72f	ܯ
730	ܰ
731	ܱ
732	ܲ
733	ܳ
734	ܴ
735	ܵ
736	ܶ
737	ܷ
738	ܸ
739	ܹ
73a	ܺ
73b	ܻ
73c	ܼ
73d	ܽ
73e	ܾ
73f	ܿ
740	݀
741	݁
742	݂
743	݃
744	݄
745	݅
746	݆
747	݇
748	݈
749	݉
74a	݊
74d	ݍ
74e	ݎ
74f	ݏ
750	ݐ
751	ݑ
752	ݒ
753	ݓ
754	ݔ
755	ݕ
756	ݖ
757	ݗ
758	ݘ
759	ݙ
75a	ݚ
75b	ݛ
75c	ݜ
75d	ݝ
75e	ݞ
75f	ݟ
760	ݠ
761	ݡ
762	ݢ
763	ݣ
764	ݤ
765	ݥ
766	ݦ
767	ݧ
768	ݨ
769	ݩ
76a	ݪ
76b	ݫ
76c	ݬ
76d	ݭ
76e	ݮ
76f	ݯ
770	ݰ
771	ݱ
772	ݲ
773	ݳ
774	ݴ
775	ݵ
776	ݶ
777	ݷ
778	ݸ
779	ݹ
77a	ݺ
77b	ݻ
77c	ݼ
77d	ݽ
77e	ݾ
77f	ݿ
780	ހ
781	ށ
782	ނ
783	ރ
784	ބ
785	ޅ
786	ކ
787	އ
788	ވ
789	މ
78a	ފ
78b	ދ
78c	ތ
78d	ލ
78e	ގ
78f	ޏ
790	ސ
791	ޑ
792	ޒ
793	ޓ
794	ޔ
795	ޕ
796	ޖ
797	ޗ
798	ޘ
799	ޙ
79a	ޚ
79b	ޛ
79c	ޜ
79d	ޝ
79e	ޞ
79f	ޟ
7a0	ޠ
7a1	ޡ
7a2	ޢ
7a3	ޣ
7a4	ޤ
7a5	ޥ
7a6	ަ
7a7	ާ
7a8	ި
7a9	ީ
7aa	ު
7ab	ޫ
7ac	ެ
7ad	ޭ
7ae	ޮ
7af	ޯ
7b0	ް
7b1	ޱ
7c0	߀
7c1	߁
7c2	߂
7c3	߃
7c4	߄
7c5	߅
7c6	߆
7c7	߇
7c8	߈
7c9	߉
7ca	ߊ
7cb	ߋ
7cc	ߌ
7cd	ߍ
7ce	ߎ
7cf	ߏ
7d0	ߐ
7d1	ߑ
7d2	ߒ
7d3	ߓ
7d4	ߔ
7d5	ߕ
7d6	ߖ
7d7	ߗ
7d8	ߘ
7d9	ߙ
7da	ߚ
7db	ߛ
7dc	ߜ
7dd	ߝ
7de	ߞ
7df	ߟ
7e0	ߠ
7e1	ߡ
7e2	ߢ
7e3	ߣ
7e4	ߤ
7e5	ߥ
7e6	ߦ
7e7	ߧ
7e8	ߨ
7e9	ߩ
7ea	ߪ
7eb	߫
7ec	߬
7ed	߭
7ee	߮
7ef	߯
7f0	߰
7f1	߱
7f2	߲
7f3	߳
7f4	ߴ
7f5	ߵ
7f6	߶
7f7	߷
7f8	߸
7f9	߹
7fa	ߺ
7fd	߽
7fe	߾
7ff	߿
800	ࠀ
801	ࠁ
802	ࠂ
803	ࠃ
804	ࠄ
805	ࠅ
806	ࠆ
807	ࠇ
808	ࠈ
809	ࠉ
80a	ࠊ
80b	ࠋ
80c	ࠌ
80d	ࠍ
80e	ࠎ
80f	ࠏ
